metric,label,n,min,q1,median,mean,q3,max,std,iqr_width
dim_1_problem_originality,选题创新性,12,60,62.8,65.0,67,72.0,78,5.9,9.2
dim_2_method_originality,方法原创性,12,50,51.2,55.0,58.6,67.2,70,7.6,16.0
dim_3_method_rigor,方法严谨性,12,55,62.8,67.5,68.4,78.0,80,8.8,15.2
dim_4_experimental_validation,实验验证,12,40,46.2,55.0,57.2,71.0,82,13.9,24.8
dim_5_writing_quality,写作规范性,12,55,64.0,72.0,70.5,77.2,80,7.9,13.2
dim_6_structure_logic,结构与逻辑,12,68,72.0,80.0,77.5,81.5,82,5.1,9.5
dim_7_literature_coverage,文献覆盖,12,45,50.5,66.0,64.5,78.0,82,13.7,27.5
dim_8_reproducibility,可复现性,12,30,35.0,52.5,53.2,70.0,88,19.8,35.0
dim_9_presentation_figures,表达与图表,12,50,62.8,73.0,69.8,80.0,80,11.6,17.2
dim_10_future_potential,潜在价值,12,60,68.0,75.0,74.2,80.0,85,7.3,12.0
macro_research,研究本身 Research,12,54.6,56.0,62.9,62.7,67.7,73.8,6.8,11.7
macro_paper,论文本身 Paper,12,54.8,61.4,68.0,67.7,72.2,81.7,7.8,10.8
macro_potential,课题潜力 Potential,12,60.0,68.0,75.0,74.2,80.0,85.0,7.3,12.0
total,Total 总分,12,56.5,59.0,65.5,65.4,70.3,76.4,6.4,11.3
